1000000,267902,险企专用供应商全称0914001,102982,12109141001
2000000,267903,险企专用供应商全称0914002,102983,12109141002
3000000,267904,险企专用供应商全称0914003,102984,12109141003
4000000,267905,险企专用供应商全称0914004,102985,12109141004
5000000,267906,险企专用供应商全称0914005,102986,12109141005
6000000,267907,险企专用供应商全称0914006,102987,12109141006
7000000,267908,险企专用供应商全称0914007,102988,12109141007
8000000,267909,险企专用供应商全称0914008,102989,12109141008
9000000,267910,险企专用供应商全称0914009,102990,12109141009
10000000,267911,险企专用供应商全称0914010,102991,12109141010
11000000,267912,险企专用供应商全称0914011,102992,12109141011
12000000,267913,险企专用供应商全称0914012,102993,12109141012
13000000,267914,险企专用供应商全称0914013,102994,12109141013
14000000,267915,险企专用供应商全称0914014,102995,12109141014
15000000,267916,险企专用供应商全称0914015,102996,12109141015
16000000,267917,险企专用供应商全称0914016,102997,12109141016
17000000,267918,险企专用供应商全称0914017,102998,12109141017
18000000,267919,险企专用供应商全称0914018,102999,12109141018
19000000,267920,险企专用供应商全称0914019,103000,12109141019
20000000,267921,险企专用供应商全称0914020,103001,12109141020
